"","GSE_ID","title","phenotype","tissuetype"
"GSM101096...1","GSE11784","small airways, non-smoker 004, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101097...2","GSE11784","small airways, non-smoker 002, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101098...3","GSE11784","small airways, non-smoker 003, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101100...4","GSE11784","small airways, non-smoker 006, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101101...5","GSE11784","small airways, non-smoker 021, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101102...6","GSE11784","small airways, non-smoker 019, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101103...7","GSE11784","small airways, non-smoker 014, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101104...8","GSE11784","small airways, non-smoker 008, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101105...9","GSE11784","small airways, non-smoker 015, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101106...10","GSE11784","small airways, non-smoker 005, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101107...11","GSE11784","small airways, smoker 002, RMA and MAS","Smoker","small_airways"
"GSM101111...12","GSE11784","small airways, smoker 001, RMA and MAS","Smoker","small_airways"
"GSM101113...13","GSE11784","small airways, smoker 048, RMA and MAS","Smoker","small_airways"
"GSM101114...14","GSE11784","small airways, smoker 041, RMA and MAS","Smoker","small_airways"
"GSM101115...15","GSE11784","small airways, smoker 044, RMA and MAS","Smoker","small_airways"
"GSM101116...16","GSE11784","small airways, smoker 049, RMA and MAS","Smoker","small_airways"
"GSM114089...17","GSE11784","small airways, smoker 058, MAS5","Smoker","small_airways"
"GSM114090...18","GSE11784","small airways, smoker 063, MAS5","Smoker","small_airways"
"GSM114093...19","GSE11784","small airways, COPD 012, MAS5","Smoker with COPD","small_airways"
"GSM190149...20","GSE11784","Small airways, non-smoker 011","Healthy Non-Smoker","small_airways"
"GSM190150...21","GSE11784","Small airways, non-smoker 029","Healthy Non-Smoker","small_airways"
"GSM190151...22","GSE11784","small airways, non-smoker 034","Healthy Non-Smoker","small_airways"
"GSM190153...23","GSE11784","Small airways, non-smoker 036","Healthy Non-Smoker","small_airways"
"GSM190154...24","GSE11784","Small airways, non-smoker 040","Healthy Non-Smoker","small_airways"
"GSM190155...25","GSE11784","Small airways, non-smoker 042","Healthy Non-Smoker","small_airways"
"GSM190156...26","GSE11784","small airways, non-smoker 044","Healthy Non-Smoker","small_airways"
"GSM252828...27","GSE11784","small airways, COPD 008","Smoker with COPD","small_airways"
"GSM252830...28","GSE11784","small airways, COPD 014","Smoker with COPD","small_airways"
"GSM252831...29","GSE11784","small airways, COPD 015","Smoker with COPD","small_airways"
"GSM252833...30","GSE11784","small airways, COPD 036","Smoker with COPD","small_airways"
"GSM252835...31","GSE11784","small airways, COPD 046","Smoker with COPD","small_airways"
"GSM252836...32","GSE11784","small airways, COPD 059","Smoker with COPD","small_airways"
"GSM252837...33","GSE11784","small airways, COPD 068","Smoker with COPD","small_airways"
"GSM252838...34","GSE11784","small airways, COPD 074","Smoker with COPD","small_airways"
"GSM252839...35","GSE11784","small airways, COPD 080","Smoker with COPD","small_airways"
"GSM252841...36","GSE11784","small airways, COPD 103","Smoker with COPD","small_airways"
"GSM252855","GSE11784","small airways, non-smoker 001","Healthy Non-Smoker","small_airways"
"GSM252867...38","GSE11784","small airways, non-smoker 035","Healthy Non-Smoker","small_airways"
"GSM252871...39","GSE11784","small airways, smoker 040","Smoker","small_airways"
"GSM252876...40","GSE11784","small airways, smoker 057","Smoker","small_airways"
"GSM252879...41","GSE11784","small airways, smoker 074","Smoker","small_airways"
"GSM252880...42","GSE11784","small airways, smoker 093","Smoker","small_airways"
"GSM252881...43","GSE11784","small airways, smoker 094","Smoker","small_airways"
"GSM252882...44","GSE11784","small airways, smoker 095","Smoker","small_airways"
"GSM252884...45","GSE11784","small airways, smoker 098","Smoker","small_airways"
"GSM252885...46","GSE11784","small airways, smoker 103","Smoker","small_airways"
"GSM254149...47","GSE11784","small airways, non-smoker 045","Healthy Non-Smoker","small_airways"
"GSM254150...48","GSE11784","small airways, non-smoker 059","Healthy Non-Smoker","small_airways"
"GSM254151...49","GSE11784","small airways, non-smoker 071","Healthy Non-Smoker","small_airways"
"GSM254152...50","GSE11784","small airways, non-smoker 078","Healthy Non-Smoker","small_airways"
"GSM254157...51","GSE11784","small airways, smoker 112","Smoker","small_airways"
"GSM254158...52","GSE11784","small airways, smoker 114","Smoker","small_airways"
"GSM254159...53","GSE11784","small airways, smoker 119","Smoker","small_airways"
"GSM254160...54","GSE11784","small airways, smoker 152","Smoker","small_airways"
"GSM254161...55","GSE11784","small airways, smoker 169","Smoker","small_airways"
"GSM254163...56","GSE11784","small airways, COPD 024","Smoker with COPD","small_airways"
"GSM254169...57","GSE11784","small airways, COPD 093","Smoker with COPD","small_airways"
"GSM254172...58","GSE11784","small airways, COPD 110","Smoker with COPD","small_airways"
"GSM254173...59","GSE11784","small airways, COPD 114","Smoker with COPD","small_airways"
"GSM254174...60","GSE11784","small airways, COPD 119","Smoker with COPD","small_airways"
"GSM254175...61","GSE11784","small airways, COPD 122","Smoker with COPD","small_airways"
"GSM254176...62","GSE11784","small airways, COPD 134","Smoker with COPD","small_airways"
"GSM298219...63","GSE11784","small airways, non-smoker 039","Healthy Non-Smoker","small_airways"
"GSM298220...64","GSE11784","small airways, non-smoker 046","Healthy Non-Smoker","small_airways"
"GSM298221...65","GSE11784","small airways, non-smoker 047","Healthy Non-Smoker","small_airways"
"GSM298222...66","GSE11784","small airways, non-smoker 048","Healthy Non-Smoker","small_airways"
"GSM298223...67","GSE11784","small airways, non-smoker 050","Healthy Non-Smoker","small_airways"
"GSM298224...68","GSE11784","small airways, non-smoker 055","Healthy Non-Smoker","small_airways"
"GSM298225...69","GSE11784","small airways, non-smoker 065","Healthy Non-Smoker","small_airways"
"GSM298226...70","GSE11784","small airways, non-smoker 072","Healthy Non-Smoker","small_airways"
"GSM298227...71","GSE11784","small airways, non-smoker 076","Healthy Non-Smoker","small_airways"
"GSM298228...72","GSE11784","small airways, non-smoker 080","Healthy Non-Smoker","small_airways"
"GSM298229...73","GSE11784","small airways, non-smoker 083","Healthy Non-Smoker","small_airways"
"GSM298230...74","GSE11784","small airways, smoker 087","Smoker","small_airways"
"GSM298231...75","GSE11784","small airways, smoker 102","Smoker","small_airways"
"GSM298232...76","GSE11784","small airways, smoker 120","Smoker","small_airways"
"GSM298233...77","GSE11784","small airways, smoker 122","Smoker","small_airways"
"GSM298234...78","GSE11784","small airways, smoker 123","Smoker","small_airways"
"GSM298235...79","GSE11784","small airways, smoker 125","Smoker","small_airways"
"GSM298236...80","GSE11784","small airways, smoker 129","Smoker","small_airways"
"GSM298237...81","GSE11784","small airways, smoker 130","Smoker","small_airways"
"GSM298238...82","GSE11784","small airways, smoker 134","Smoker","small_airways"
"GSM298239...83","GSE11784","small airways, smoker 136","Smoker","small_airways"
"GSM298240...84","GSE11784","small airways, smoker 141","Smoker","small_airways"
"GSM298241...85","GSE11784","small airways, smoker 155","Smoker","small_airways"
"GSM298242...86","GSE11784","small airways, smoker 159","Smoker","small_airways"
"GSM298243...87","GSE11784","small airways, smoker 161","Smoker","small_airways"
"GSM298244...88","GSE11784","small airways, smoker 164","Smoker","small_airways"
"GSM298245...89","GSE11784","small airways, smoker 167","Smoker","small_airways"
"GSM298246...90","GSE11784","small airways, smoker 176","Smoker","small_airways"
"GSM298247...91","GSE11784","small airways, smoker 177","Smoker","small_airways"
"GSM300859...92","GSE11784","small airways, non-smoker 085","Healthy Non-Smoker","small_airways"
"GSM302396...93","GSE11784","small airways, non-smoker 022","Healthy Non-Smoker","small_airways"
"GSM302397...94","GSE11784","small airways, non-smoker 066","Healthy Non-Smoker","small_airways"
"GSM302399...95","GSE11784","small airways, smoker 195","Smoker","small_airways"
"GSM350871...96","GSE11784","small airways, non-smoker 094","Healthy Non-Smoker","small_airways"
"GSM350873...97","GSE11784","small airways, non-smoker 103","Healthy Non-Smoker","small_airways"
"GSM350874...98","GSE11784","small airways, smoker 188","Smoker","small_airways"
"GSM350955...99","GSE11784","small airways, non-smoker 110","Healthy Non-Smoker","small_airways"
